"STATUS_0","Ungültig / Unvollständig"
"Waiting for payment. Ingenico Payment Services status: %s.","Warten auf Zahlung. Ingenico Payment Services Status: %s."
"Authorization waiting. Ingenico Payment Services status: %s.","Genehmigung im Wartezustand. Ingenico Payment Services Status: %s."
"Authorization uncertain. Ingenico Payment Services status: %s.","Genehmigung unsicher. Ingenico Payment Services Status: %s."
"Processed by Ingenico Payment Services. Payment ID: %s. Ingenico Payment Services status: %s.","Verarbeitet von Ingenico Payment Services. Bezahlungs ID: %s. Ingenico Payment Services Status: %s."
"Ingenico Payment Services server is temporarily not available","Der Ingenico Payment Services Server ist zur Zeit nicht verfügbar. Bitte versuchen Sie es später."
"An error occured during the Ingenico Payment Services request. Your action could not be executed. Message: ""%s"".","Während der Ingenico Payment Services Anfrage trat ein Fehler auf. Ihr Vorgang konnte nicht ausgeführt werden. Nachricht: ""%s""."
"You already sent a capture request. Please wait until the capture request is acknowledged.","Sie haben bereits eine Buchungsanfrage gesendet. Bitte warten Sie bis die Buchungsanfrage bestätigt wurde."
"There is one void request waiting. Please wait until this request is acknowledged.","Es ist eine Void Anfrage im Wartezustand. Bitte warten Sie bis die Anfrage bestätigt wurde."
"Start Ingenico Payment Services %s capture request","Starte Ingenico Payment Services %s Buchungsanfrage"
"Invoice will be created automatically as soon as Ingenico Payment Services sends an acknowledgement. Ingenico Payment Services status: %s., sobald eine Bestätigung von OSP gesendet wird. Ingenico Payment Services Status: %s.","Die Rechnung wird  automatisch erstellt, sobald eine Bestätigung von OSP gesendet wird. Ingenico Payment Services Status: %s."
"The Invoice will be created automatically as soon as Ingenico Payment Services sends an acknowledgement.","Die Rechnung wird automatisch erstellt, sobald eine Bestätigung von Ingenico Payment Services gesendet wird."
"The Invoice was not created. Ingenico Payment Services status: %s.","Die Rechnung wurde nicht erstellt. Ingenico Payment Services Status: %s."
"The CreditMemo was not created. Ingenico Payment Services status: %s.","Die Gutschrift wurde nicht erstellt. Ingenico Payment Services Status: %s."
"The Creditmemo will be created automatically as soon as Ingenico Payment Services sends an acknowledgement.","Die Gutschrift wird automatisch erstellt, sobald eine Bestätigung von Ingenico Payment Services gesendet wird."
"There is already one creditmemo in the queue. The Creditmemo will be created automatically as soon as Ingenico Payment Services sends an acknowledgement.","Es ist bereits eine Gutschrift in der Warteschlange. Die Gutschrift wird automatisch erstellt, sobald eine Bestätigung von Ingenico Payment Services gesendet wurde."
"Please use void to cancel the operation.","Bitte benutzen Sie Void um den Vorgang abzubrechen."
"You already sent a void request. Please wait until the void request will be acknowledged.","Sie haben bereits eine Void Anfrage gesendet. Bitte warten Sie bis diese bestätigt ist."
"There is one capture request waiting. Please wait until this request is acknowledged.","Eine Zahlungserfassung ist im Wartezustand. Bitte warten Sie bis die Anfrage bestätigt wurde."
"The void request is sent. Please wait until the void request will be accepted.","Die Void Anfrage wurde gesendet. Bitte warten Sie bis die Void Anfrage akzeptiert wird."
"Void order succeed. Ingenico Payment Services status: %s.","Void der Bestellung war erfolgreich. Ingenico Payment Services Status: %s."
"Void order failed. Ingenico Payment Services status: %s.","Void der Bestellung ist nicht erfolgt. Ingenico Payment Services Status: %s."
"Authorization","Genehmigung"
"Direct Sale","Direktbuchung"
"Horizontally grouped logo with group name on left","horizontal gruppiertes Logo mit Gruppenname auf der linken Seite"
"Horizontally grouped logo with no group name","horizontal gruppiertes Logo ohne Gruppenname"
"Verical list","vertikale Liste"
"You will be redirected to the payment page after the order confirmation.","Nach der Bestellbestätigung werden Sie auf die Bezahlungsseite weitergeleitet."
"Payment failed. Please select another payment method.","Zahlung nicht erfolgt. Bitte wählen Sie eine andere Zahlungsmethode."
"Payment failed. Please review your input or select another payment method.","Zahlung nicht erfolgt. Bitte überprüfen Sie ihre Eingaben oder wählen Sie eine andere Zahlungsmethode."
"Incorrect credit card expiration date.","Falsches Gültigkeitsdatum der Kreditkarte."
"Credit Card Type","Kreditkartentyp"
"Name on Card","Karteninhaber"
"Credit Card Number","Kreditkartennummer"
"Card Verification Number","Kartenprüfnummer"
"Expiration Date","Gültigkeitsdatum"
"Account holder","Kontoinhaber"
"Account number","Kontonummer"
"Bank code","Bankleitzahl"
"BCMC","Bancontact/Mister Cash"
"You will be redirected to Ingenico Payment Services website when you place an order.","Sie werden auf die Ingenico Payment Services Webseite weitergeleitet wenn Sie eine Bestellung ausführen."
"Please wait a moment. This page will transfer your data to Ingenico Payment Services payment gateway in a few seconds.","Bitte warten Sie. Diese Seite leitet Ihre Daten in wenigen Sekunden an das Ingenico Payment Services Zahlungsprotokoll weiter."
"PSPID is a case sensitive field","Bitte achten Sie auf Groß-/Kleinschreibung"
"SHA-IN Pass phrase","SHA-1-IN Signatur"
"Refer to Ingenico Payment Services's backend in section <em>Technical Information</em> on tab <em>Data and origin verification</em>.","Diese finden Sie im Ingenico Payment Services Backend im Bereich <em>Technische Informationen</em> im Reiter <em>Daten- und Ursprungsüberprüfung</em>."
"SHA-OUT Pass phrase","SHA-1-OUT Signatur"
"Refer to Ingenico Payment Services's backend in section <em>Technical Information</em> on tab <em>Transaction feedback</em>.","Diese finden Sie im Ingenico Payment Services Backend im Bereich <em>Technische Informationen</em> im Reiter <em>Transaktions Feedback</em>."
"Test url example: https://secure.ogone.com/ncol/test/orderstandard_utf8.asp<br />Production url example: https://secure.ogone.com/ncol/prod/orderstandard_utf8.asp","URL-Beispiel Testbetrieb: https://secure.ogone.com/ncol/test/orderstandard_utf8.asp<br />URL-Beispiel Produktivbetrieb: https://secure.ogone.com/ncol/prod/orderstandard_utf8.asp"
"Test url example: https://secure.ogone.com/ncol/test/alias_gateway_utf8.asp<br />Production url example: https://secure.ogone.com/ncol/prod/alias_gateway_utf8.asp","URL-Beispiel Testbetrieb: https://secure.ogone.com/ncol/test/alias_gateway_utf8.asp<br />URL-Beispiel Produktivbetrieb: https://secure.ogone.com/ncol/prod/alias_gateway_utf8.asp"
"Test url example: https://secure.ogone.com/ncol/test/maintenancedirect.asp<br />Production url example: https://secure.ogone.com/ncol/prod/maintenancedirect.asp","URL-Beispiel Testbetrieb: https://secure.ogone.com/ncol/test/maintenancedirect.asp<br />URL-Beispiel Produktivbetrieb: https://secure.ogone.com/ncol/prod/maintenancedirect.asp"
"Test url example: https://secure.ogone.com/ncol/test/orderdirect.asp<br />Production url example: https://secure.ogone.com/ncol/prod/orderdirect.asp","URL-Beispiel Testbetrieb: https://secure.ogone.com/ncol/test/orderdirect.asp<br />URL-Beispiel Produktivbetrieb: https://secure.ogone.com/ncol/prod/orderdirect.asp"
"If you choose ""Ingenico Payment Services"", you will need to fill in all the following fields.","Wenn Sie ""Ingenico Payment Services Template"" wählen, müssen Sie die folgenden Felder ausfüllen."
"Payment Template","Bezahlseitenvorlage"
"Title of the Ingenico Payment Services Template","Titel der Ingenico Payment Services-Vorlage"
"Background Color of Ingenico Payment Services Template","Hintergrundfarbe der Ingenico Payment Services-Vorlage"
"Text Color of the Ingenico Payment Services Template","Textfarbe der  Ingenico Payment Services-Vorlage"
"Table Background Color of the Ingenico Payment Services Template","Tabellenhintergrundfarbe der Ingenico Payment Services Vorlage"
"Table Text Color of the Ingenico Payment Services Template","Tabellentextfarbe der Ingenico Payment Services Vorlage"
"Button Background Color of the Ingenico Payment Services Template","Schaltflächenhintergrundfarbe der Ingenico Payment Services Vorlage"
"Button Text Color of the Ingenico Payment Services Template","Schaltflächentextfarbe der Ingenico Payment Services Vorlage"
"Font Family of the Ingenico Payment Services Template","Schriftfamilie der Ingenico Payment Services Vorlage"
"Logo of the Ingenico Payment Services Template","Logo der Ingenico Payment Services Vorlage"
"Layout of Payment Methods","Ausrichtung der Zahlungsarten"
"e.g: white","in englisch, z. B. <em>white</em>"
"e.g: black","in englisch, z. B. <em>black</em>"
"e.g: Verdana","z. B. Verdana"
"Debug", "Fehlerprotokoll"
"devprefix", "Präfix für Parameter ORDERID"
"Ingenico Payment Services Account","Ingenico Payment Services Einstellungen"
"URL/filename of the logo. The URL must be absolute and stored on a secure server.","URL/Dateipfad zum Logo. Die URL muss absolut sein und auf einen sicheren Server verweisen."
"Countries","Länder"
"Country","Land"
"Card Types","Kartentypen"
"Enable redirect payment for all card types","Für alle Kreditkartentypen zur Zahlung weiterleiten"
"Enable inline payment for these card types","Eingebettete Zahlung für diese Kartentypen aktivieren"
"Enable 3D secure","3D-Secure aktivieren"
"Miscellaneous Countries","Sonstige Länder"
"Please make sure that you enabled customer gender and customer date of birth in customer attributes configuration. Otherwise this payment method won't be available. Please be informed that, if you use AfterPay as acquirer on Ingenico Payment Services side, it's not possible to perform partial captures.", "Bitte stellen Sie sicher, dass Kundengeschlecht und -geburtstag in der Kundenattributkonfiguration aktiviert sind. Andernfalls wird diese Zahlungsmethode nicht verfügbar sein. Teilrechnungnen sind nur möglich, wenn der Akzeptanzpartner auf Ingenico Payment Services Seite nicht AfterPay ist."
"OWNERADDRESS","Straße"
"ECOM_BILLTO_POSTAL_STREET_NUMBER","Hausnummer der Rechnungsadresse"
"ECOM_SHIPTO_POSTAL_STREET_LINE1","Straße der Versandadresse"
"ECOM_SHIPTO_POSTAL_STREET_NUMBER","Hausnummer der Versandadresse"
"Please make sure that your street and house number are correct!","Bitte prüfen Sie, ob Straße und Hausnummer korrekt sind."
"Your details","Ihre Angaben"
"Your details","Ihre Angaben"
"Brand", "Gutscheincode"
"Add Brand", "Gutschein hinzufügen"
"Add one or more brands. In field ""BRAND"" you will have to enter the value you got from Ingenico Payment Services.", "Fügen Sie einen oder mehrere Gutscheine hinzu. Im Feld ""Gutscheincode"" ist der Wert einzugeben, den Sie von Ingenico Payment Services erhalten haben."
"Title", "Titel"
"Please select a brand", "Bitte wählen Sie einen Gutschein"
"Ingenico Payment Services Payment failed", "Ingenico Payment Services Zahlung fehlgeschlagen"
"This might be a fraud attempt. Please check details for more information.","Dies könnte ein Betrugsversuch sein.  Bitte prüfen Sie die Details."
"Scoring Category: G","Scoring-Kategorie: G (Grün)"
"Scoring Category: O","Scoring-Kategorie: O (Orange)"
"Scoring Value: %s","Scoring-Wert: %s"
"SCORING_DESCRIPTION_AAVCHECK","Ergebnis der automatischen Adressprüfung (derzeit nur für American Express verfügbar).<br />Mögliche Werte:<br />KO: Ungültige Adresse<br />OK: Adresse ist gültig<br />NO: Prüfung wurde nicht durchgeführt"
"SCORING_DESCRIPTION_CVCCHECK","Ergebnis der Prüfung des Kreditkarten-Sicherheitscodes.<br />Mögliche Werte:<br />KO: Code ungültig<br />OK: Code ist gültig<br />NO: Prüfung wurde nicht durchgeführt"
"SCORING_DESCRIPTION_CCCTY","Ausgabeland der Kreditkarte (2-stelliger Ländercode, ""99"" bei unbekanntem Ausgabeland)"
"SCORING_DESCRIPTION_IPCTY","IP-Herkunftsland (2-stelliger Ländercode, ""99"" bei unbekanntem Land)"
"SCORING_DESCRIPTION_NBREMAILUSAGE","Anzahl der Verwendungen dieser E-Mail-Adresse über einen bestimmten Zeitraum (wenn die entsprechende Regel konfiguriert wurde)"
"SCORING_DESCRIPTION_NBRIPUSAGE","Anzahl der Verwendungen dieser IP-Adresse für erfolgreiche Transaktionen über einen bestimmten Zeitraum (wenn die entsprechende Regel konfiguriert wurde)"
"SCORING_DESCRIPTION_NBRIPUSAGE_ALLTX","Anzahl der Verwendungen dieser IP-Adresse für erfolgreiche und/oder abgelehnte Transaktionen über einen bestimmten Zeitraum (wenn die entsprechende Regel konfiguriert wurde)"
"SCORING_DESCRIPTION_NBRUSAGE","Anzahl der Verwendungen dieser Kreditkarte (wenn die entsprechende Regel konfiguriert wurde)"
"SCORING_DESCRIPTION_VC","Virtuelle Karte<br />Mögliche Werte:<br />ECB: E Carte Bleue<br />ICN: Internet City Number<br />NO: Alle anderen Karten (z.B. unbekannt oder nicht virtuell)"
"SCORING_DESCRIPTION_CARDNO","Kartennummer (pseudonymisiert)"
"SCORING_DESCRIPTION_ED","Ablaufdatum der verwendeten Karte"
"SCORING_DESCRIPTION_CN","Karteninhaber"
"directebanking.de For the German subsidiaries only!", "direktebanking.de. Nur für deutsche Händler"
"Sofort Uberweisung","Sofort Überweisung"
"DirectEbanking","sofortüberweisung.de"
"DirectEbankingAT", "Sofort Überweisung (AT)"
"DirectEbankingBE", "Direct Ebanking (BE)"
"DirectEbankingCH", "Sofort Überweisung (CH)"
"DirectEbankingDE", "Sofort Überweisung (DE)"
"DirectEbankingFR", "Direct Ebanking (FR)"
"DirectEbankingGB", "Direct Ebanking (GB)"

"Enable for backend", "Für Zahlungen im Backend erlauben"
"Sort Order for backend", "Reihenfolge im Backend"
"Existing Ingenico Payment Services transaction", "Existierende Ingenico Payment Services-Transaktion"
"Ingenico Payment Services payment id","Ingenico Payment Services-Transaktionsnummer"
"Please use this method for the following brands only:", "Bitte benutzen Sie eine der folgenden Kartentypen:"
"Payment using 3D secure is not supported.", "Zahlungsarten, die 3D Secure benutzen, werden nicht unterstützt."

"My payment information","Meine Zahlungsdaten"
"Payment Method","Zahlungsart"
"Card Number/Account Number","Kartennummer/Kontonummer"
"expires: %s","gültig bis: %s"
"Save payment information","Zahlungsdaten speichern"
"You don't want to enter your payment information again? Just %s to save your credit card information securely!","Sie möchten Ihre Zahlungsdaten nicht immer wieder neu eingeben müssen? %s Sie sich, damit Sie Ihre Zahlungsdaten sicher hinterlegen können!"

"register","Registrieren"
"Invalid payment information provided!", "Die angegebenen Zahlungsdaten sind ungültig!"
"Removed alias %s.","Der Alias %s wurde gelöscht."
"Could not remove alias %s.","Der Alias %s konnte nicht gelöscht werden."
"Unknown Ingenico Payment Services state for this order. Please check Ingenico Payment Services backend for this order.", "Unbekannter Ingenico Payment Services Status für diese Bestellung. Bitte überprüfen sie den Status im Ingenico Payment Services Backend."
"The order was cancelled manually. The Ingenico Payment Services-state is 0 or null.","Die Bestellung wurde manuell storniert. Der Ingenico Payment Services-Status ist 0 oder null."
"Are you sure you want to cancel this order? Warning: Please check the payment status in the back-office of Ingenico Payment Services before. By cancelling this order you won\'t be able to update the status in Magento anymore.","Wollen Sie diese Bestellung wirklich stornieren? Warnung: Bitte prüfen Sie vorher den Zahlungsstatus im Ingenico Payment Services-Backend. Wenn Sie diese Bestellung stornieren, können Sie deren Status in Magento nicht mehr verändern."
"Show information for guests", "Gästen Hinweis anzeigen"
"Last refund (Close payment transaction)", "Letzte Gutschrift (Schließt die Zahlungstransaktion)"
"Only offline refund is available, since Ingenico Payment Services transaction is already closed.", "Die Gutschrift kann nur noch offline erfolgen, da die Ingenico Payment Services Transaktion bereits geschlossen ist."
"If this checkbox is marked, the refund will be final: the transaction will be closed and it will not be possible to perform any further refund for this transaction.", "Wenn diese Checkbox markiert ist, wird dies die abschließende Gutschrift sein und die Transaktion wird geschlossen, sodass keine weiteren Gutschriften mehr angelegt werden können."
"Order reference in case of redirect payments", "Referenz der Bestellungen für Redirect-Zahlungen"
"See chapter 'configuration', section 'Magento - Backend in the documentation'. Please note that the option 'orderId' is not used for inline payments and the Kwixo payment methods.", "Siehe Kapitel 'Konfiguration' Abschnitt 'Magento-Backend' in der Dokumentation. Bitte beachten Sie, dass die Option 'OrderId' nicht bei den Inline- sowie den Kwixo Zahlungsmethoden zur Verfügung steht."
"quote id", "Quote ID"
"order id", "Order ID"
"Show Quote ID in the order grid","Quote ID im Order Grid anzeigen"
"Enable tracking code", "Tracking Code zur Betrugserkennung aktivieren"
"The ID of Tracker Application Account", "Tracking Application Account ID"
"The ID of Tracker Application Account.", "Tracking Application Account ID"
"Enabled Alias Manager","Alias Manager aktivieren"
"Show Alias Manager information for guests","Alias Manager Info für Gäste anzeigen"
"State","Status"
"Card Holder","Karteninhaber"
"Delete","löschen"
"active","aktiviert"
"Action","Aktion"
"pending", "ausstehend"
"You did not save any payment information, yet.", "Sie haben bisher noch keine Zahlungsdaten gespeichert"
"--Please select--","--Bitte auswählen--"
"Pick up at merchant","Abholen beim Verkäufer"
"Collection point (Kiala...)","Sammelstelle (Kiala...)"
"Collect at airport, train station or travel agency","Flughafen, Bahnstation oder Reisebüro"
"Transporter (La Poste, UPS...)","Transport (Post, UPS)"
"Download","Herunterladen"
"Food & gastronomy","Essen & Gastronomie"
"Car & Motorbike","Auto & Motorrad"
"Culture & leisure","Kultur & Freizeit"
"Home & garden","Haus & Garten"
"Appliances","Haushaltsgeräte"
"Auctions and bulk purchases","Auktionen und Großeinkauf"
"Flowers & gifts","Blumen & Geschenke"
"Computer & software","Computer & Software"
"Health & beauty","Gesundheit & Schönheit"
"Services for individuals","Dienstleistungen für Privatpersonen"
"Services for professionals","Serviceleistungen für Profis"
"Sports","Sport"
"Clothing & accessories","Kleidung & Accessoires"
"Travel & tourism","Reisen & Tourismus"
"Hifi, photo & video","Hifi, Foto & Video"
"Telephony & communication","Telefonie & Kommunikation"
"Jewelry & precious metals","Schmuck & Edelmetalle"
"Baby articles and accessories","Baby-Artikel und Accessoires"
"Sound & light","Sound & Licht"
"Please make sure that the displayed data is correct.","Bitte stellen Sie sicher dass die angezeigten Daten korrekt sind."
"OWNERADDRESS","Straßenname der Rechnungsadresse"
"ECOM_BILLTO_POSTAL_STREET_NUMBER","Hausnummer der Rechnungsadresse"
"ECOM_SHIPTO_POSTAL_STREET_LINE1","Straßenname der Lieferadresse"
"ECOM_SHIPTO_POSTAL_STREET_NUMBER","Hausnummer der Lieferadresse"
"Year of Expiration Date", "Jahr des Ablaufdatums"
"Month of Expiration Date", "Monat des Ablaufdatums"
"Kwixo category", "Kwixo Kategorie"
"Apply to sub-categories", "Auf Unterkategorien anwenden"
"Categories configuration", "Kategorien Zuordnung"
"Categorie's %s configuration", "Zuordnung der Kategorie %s"
"Kwixo Category Mapping", "Kwixo Kategorien Zuordnung"
"Please note that a proper category mapping is necessary in order to use this payment method", "Bitte beachten Sie, dass eine Kategorienzuordnung notwendig ist, um diese Zahlart nutzen zu können."
"Estimated Delivery Date", "Voraussichtliches Lieferdatum"
"RNP Fee", "Nachnahmegebühr"
"Shipping Method Type", "Versandart"
"Shipping method speed", "Versandgeschwindigkeit"
"Shipping Method Details", "weitere Details zum Versand"
"ECOM_SHIPTO_TELECOM_PHONE_NUMBER", "Telefonnummer des Empfängers"
"ECOM_SHIPTO_POSTAL_NAME_PREFIX", "Anrede des Empfängers"
"CIVILITY", "Anrede des Rechnungsempfängers"
"Are you sure you want to cancel this order? Warning: Please check the payment status in the back-office of Ingenico Payment Services before. By cancelling this order you won\'t be able to update the status in Magento anymore.", "Sind Sie sicher, dass Sie die Bestellung löschen möchten. Falls ja kann der Status der Bestelluing nicht mehr geändert werden."
"An error occured during 3D-Secure processing of Ingenico Payment Services.", "Es ist ein Fehler während der Verarbeitung von 3D Secure seitens Ingenico Payment Services aufgetreten."
"API User", "API Benutzer"
"API Password", "API Passwort"
"Payment Action", "Zahlungsaktion"
"Attention: This may be an attempt to defraud!", "Achtung! Dies könnte ein Betrugsversuch sein!"
"Your payment information was declined. Please select another payment method.", "Die Zahlung wurde abgelehnt. Bitte wählen Sie eine andere Zahlungsweise"
"A technical problem arose during payment process, giving unpredictable result. Ingenico Payment Services status: %s.", "Ein technisches Problem ist während der Verarbeitung aufgetreten, Ingenico Payment Services Status: %s."
"Ingenico Payment Services server is temporarily not available, please try again later.", "Ingenico Payment Services Server ist vorübergehend nicht erreichbar. Bitte versuchen Sie es später erneut."
"An error occured during the Ingenico Payment Services request. Your action could not be executed. Message: %s", "Ein Fehler ist während der Anfrage zu Ingenico Payment Services aufgetreten. Die gewünschte Aktion konnte nicht ausgeführt werden. Nachricht: %s"
"An error occured during 3D-Secure processing of Ingenico Payment Services. Error: %s", "Ein Fehler ist während der 3D-Secure Verarbeitung seitens Ingenico Payment ServicesAufgetreten. Fehler: %s"
"Show catalog button", "Zeige Katalog-Button"
"Show home button", "Zeige Startseite-Button"

"Shipping method type", "Versandart"
"Kwixo shipping method type", "Kwixo Versandart"
"Kwixo shipping type", "Kwixo Versandart"
"Shipping method speed", "Versandgeschwindigkeit"
"shipping details not valid", "Versanddetails ungültig"
"shipping speed not valid", "Versandgeschwindigkeit ungültig"
"shipping type not valid", "Versandart ungültig"

"Default Shipping Method Type", "Standartversandart"
"Default Shipping method speed", "Standardversandgeschwindigkeit"
"Default Shipping Method Details", "Standardversanddetails"
"Kwixo shipping setting", "Kwixo Versandarten Konfiguration"
"Don't forget to set your shipping method to use KWIXO in the best way", "Vergessen Sie nicht die Versandarten zu konfigurieren, um die Kwixo Zahlarten bestmöglich zu nutzen"
"Shipping method details", "Versanddetails"
"Shipping configuration", "Versandeinstellungen"

"Unknown country within the IBAN '%value%'", "Unbekanntes Land für den IBAN-Wert '%value%'"
"%value%' has a false IBAN format", "'%value%' hat ein falsches IBAN Format"
"'%value%' has failed the IBAN check", "%value% ist keine gültige IBAN"
"Country not supported for IBAN", "IBAN wird für dieses Land nicht unterstützt"
"invalid data provided", "Ungültige Daten"
"Account holder must be provided", "Kontoinhaber darf nicht leer sein"
"invalid BIC provided", "Ungültige BIC angegeben"
"Invalid IBAN provided", "Ungültige IBAN"

"Shipping method type", "Versandart"
"Kwixo shipping method type", "Kwixo Versandart"
"Kwixo shipping type", "Kwixo Versandart"
"Shipping method speed", "Versandgeschwindigkeit (Stunden)"

"shipping details not valid", "Versanddetails ungültig"
"shipping speed not valid", "Versandgeschwindigkeit ungültig"
"shipping type not valid", "Versandart ungültig"


"Default Shipping Method Type", "Standartversandart"
"Default Shipping speed (in hours)", "Standardversandgeschwindigkeit (in Stunden)"
"Default Shipping Method Details", "Standardversanddetails"
"Kwixo shipping setting", "Kwixo Versandarten Konfiguration"

"Don't forget to set your shipping method to use KWIXO in the best way", "Vergessen Sie nicht die Versandarten zu konfigurieren, um die Kwixo Zahlarten bestmöglich zu nutzen"
"Shipping method details", "Versanddetails"
"Shipping configuration", "Versandeinstellungen"

"Test url example: https://secure.ogone.com/ncol/test/querydirect.asp<br />Production url example: https://secure.ogone.com/ncol/prod/querydirect.asp", "URL-Beispiel Testbetrieb: https://secure.ogone.com/ncol/test/querydirect.asp<br />URL-Beispiel Produktivbetrieb: https://secure.ogone.com/ncol/prod/querydirect.asp"
"kwixo_apres_reception_description", ""
"kwixo_payement_en_1_fois_description", ""
